statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
MI1,198,2,4,-2,"28,860","44,217",39.5%,60.5%,-15357,-0.2101481998
MI2,199,2,3,-1,"25,510","39,477",39.3%,60.7%,-13967,-0.2149199071
MI3,200,2,3,-1,"28,307","45,211",38.5%,61.5%,-16904,-0.2299300851
MI4,201,2,3,-1,"24,957","35,625",41.2%,58.8%,-10668,-0.1760919085
MI5,202,4,3,1,"48,374","42,643",53.1%,46.9%,5731,0.06296625905
MI6,203,2,3,-1,"28,162","39,049",41.9%,58.1%,-10887,-0.1619824136
MI7,204,2,3,-1,"28,879","35,899",44.6%,55.4%,-7020,-0.1083701257
MI8,205,2,3,-1,"35,145","46,892",42.8%,57.2%,-11747,-0.1431914868
MI9,206,3,3,0,"48,567","50,897",48.8%,51.2%,-2330,-0.02342556101
MI10,207,2,3,-1,"25,998","30,527",46%,54%,-4529,-0.08012383901
MI11,208,3,3,0,"39,730","45,039",46.9%,53.1%,-5309,-0.06262902712
MI12,209,3,4,-1,"50,158","58,895",46%,54%,-8737,-0.08011700733
MI13,210,6,3,3,"70,235","36,769",65.6%,34.4%,33466,0.3127546634
MI14,211,6,3,3,"88,058","42,417",67.5%,32.5%,45641,0.3498064763
MN1,212,2,3,-1,"5,488","10,896",33.5%,66.5%,-5408,-0.330078125
MN2,213,3,3,0,"8,538","11,913",41.7%,58.3%,-3375,-0.165028605
MN3,214,3,4,-1,"11,154","12,636",46.9%,53.1%,-1482,-0.06229508197
MN4,215,3,4,-1,"14,913","21,141",41.4%,58.6%,-6228,-0.1727408887
MN5,216,3,6,-3,"22,341","41,161",35.2%,64.8%,-18820,-0.2963686183
MN6,217,2,3,-1,"5,321","8,840",37.6%,62.4%,-3519,-0.2484993998
MN7,218,2,3,-1,"4,050","6,955",36.8%,63.2%,-2905,-0.2639709223
MN8,219,2,4,-2,"6,576","12,687",34.1%,65.9%,-6111,-0.3172403052
MS1,220,4,1,3,"33,200","8,707",79.2%,20.8%,24493,0.5844608299
MS2,221,9,0,9,"45,817","5,953",88.5%,11.5%,39864,0.7700212478
MS3,222,5,0,5,"35,162","5,745",86%,14%,29417,0.7191189772
MS4,223,3,1,2,"26,075","7,872",76.8%,23.2%,18203,0.5362182225
MO1,224,6,4,2,"85,656","59,567",59%,41%,26089,0.1796478519
MO2,225,3,3,0,"46,785","49,661",48.5%,51.5%,-2876,-0.02981979553
MO3,226,2,3,-1,"28,983","35,664",44.8%,55.2%,-6681,-0.1033458629
MO4,227,2,3,-1,"26,178","33,428",43.9%,56.1%,-7250,-0.1216320505
