statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
IN3,152,30.1,65.1,35.7,62.5,-35,-26.8,-8.2,22.98474832,70.11248159,-47.12773327,12.12773327
IN4,153,30.2,64.3,36.9,60.9,-34.1,-24,-10.1,30.47616503,64.59253124,-34.11636621,0.01636621092
IN5,154,41.3,53.1,40.7,57.5,-11.8,-16.8,5,34.29437745,61.46094951,-27.16657206,15.36657206
IN6,155,27.4,67.7,37.3,60.4,-40.3,-23.1,-17.2,26.70006917,69.13980127,-42.43973211,2.139732105
IN7,156,59,36.2,62.9,35.4,22.8,27.5,-4.7,59.97619677,35.68821551,24.28798126,-1.48798126
IN8,157,30.9,64.6,39.6,58.4,-33.7,-18.8,-14.9,31.67691958,63.68975919,-32.01283961,-1.68716039
IN9,158,34.2,61.1,40.7,57.2,-26.9,-16.5,-10.4,40.46146269,54.14117698,-13.67971429,-13.22028571
IA1,159,45.2,48.7,56.2,42.5,-3.5,13.7,-17.2,46.08145422,53.74424966,-7.66279544,4.16279544
IA2,160,45,49.1,55.8,42.7,-4.1,13.1,-17.2,53.6631967,46.19411294,7.469083755,-11.56908375
IA3,161,45,48.5,51.4,47.2,-3.5,4.2,-7.7,39.71487649,53.44733491,-13.73245842,10.23245842
IA4,162,33.5,60.9,45.3,53.4,-27.4,-8.1,-19.3,38.61972295,61.23254263,-22.61281967,-4.787180325
KS1,163,24.3,69.3,27.6,70.1,-45,-42.5,-2.5,0,65.89577898,-65.89577898,20.89577898
KS2,164,37.4,55.8,42,55.6,-18.4,-13.6,-4.8,32.56209629,60.93725307,-28.37515677,9.975156775
KS3,165,47.2,46,44.3,53.8,1.2,-9.5,10.7,40.59886976,51.30146628,-10.70259652,11.90259652
KS4,166,33,60.2,36.1,61.6,-27.2,-25.5,-1.7,29.60752186,60.67116922,-31.06364736,3.863647362
KY1,167,23.9,72.4,32.1,66.4,-48.5,-34.3,-14.2,27.3276678,72.56129578,-45.23362798,-3.266372019
KY2,168,27.6,67.5,35.1,63.3,-39.9,-28.2,-11.7,0,100,-100,60.1
KY3,169,54.9,39.9,55.7,42.8,15,12.9,2.1,63.4991958,36.5008042,26.9983916,-11.9983916
KY4,170,29.3,65.2,34.8,63.4,-35.9,-28.6,-7.3,28.67949035,71.32050965,-42.64101931,6.741019309
KY5,171,17.5,79.6,23.2,75,-62.1,-51.8,-10.3,0,100,-100,37.9
KY6,172,39.4,54.7,42.2,55.8,-15.3,-13.6,-1.7,38.9109716,61.0890284,-22.17805681,6.878056809
LA1,173,26.7,68.7,26.9,70.9,-42,-44,2,19.51877058,74.55751129,-55.03874071,13.03874071
LA2,174,74.6,22.2,75.8,22.8,52.4,53,-0.6,100,0,100,-47.6
LA3,175,29.2,67.3,32.3,66.1,-38.1,-33.8,-4.3,17.54229936,80.70799553,-63.16569617,25.06569617
LA4,176,36.6,60.6,39.7,59,-24,-19.3,-4.7,28.18084865,69.84632061,-41.66547197,17.66547197
LA5,177,34.1,63.5,37.7,61,-29.4,-23.3,-6.1,0,100,-100,70.6
LA6,178,31,64.8,32,66.1,-33.8,-34.1,0.3,23.92101432,72.81076902,-48.88975469,15.08975469
ME1,179,54.1,39.3,59.6,38.2,14.8,21.4,-6.6,57.9896073,41.94005469,16.04955261,-1.249552615
ME2,180,41.1,51.4,52.9,44.4,-10.3,8.5,-18.8,45.16998265,54.76641405,-9.596431401,-0.7035685993
MD1,181,33.5,61.9,37.8,60.3,-28.4,-22.5,-5.9,28.61719374,66.99144152,-38.37424778,9.974247784
MD2,182,60.2,35.6,62.9,35.1,24.6,27.8,-3.2,62.09868166,33.14495282,28.95372884,-4.353728835
MD3,183,62.9,32.1,60.6,37.2,30.8,23.4,7.4,63.18981379,33.87002282,29.31979098,1.480209023
MD4,184,77.7,19.2,78.3,20.7,58.5,57.6,0.9,74.06861063,21.41587401,52.65273663,5.847263371
MD5,185,63.6,32.6,66.2,32.3,31,33.9,-2.9,67.3782838,29.3735477,38.0047361,-7.004736104
MD6,186,55.8,39.7,55.4,42.6,16.1,12.8,3.3,55.95937019,40.08789871,15.87147148,0.2285285249
MD7,187,75.5,20.5,76,22.5,55,53.5,1.5,74.89150612,21.81040538,53.08110074,1.918899257
MD8,188,64.6,30.9,62,36.1,33.7,25.9,7.8,60.56614442,34.21432571,26.35181871,7.348181289
MA1,189,57.2,36.5,64,34.3,20.7,29.7,-9,73.33573843,0,73.33573843,-52.63573843
MA2,190,56.2,36.8,58.7,39.2,19.4,19.5,-0.1,98.24400612,0,98.24400612,-78.84400612
MA3,191,58.2,35.4,56.9,41.4,22.8,15.5,7.3,68.69370154,31.20182709,37.49187445,-14.69187445
MA4,192,59.2,35,57.1,41.3,24.2,15.8,8.4,70.09859894,29.81306021,40.28553873,-16.08553873
MA5,193,69.3,25.7,65.2,33.1,43.6,32.1,11.5,98.55041459,0,98.55041459,-54.95041459
MA6,194,56.1,38.2,54.7,43.9,17.9,10.8,7.1,98.36589132,0,98.36589132,-80.46589132
MA7,195,84.1,11.9,82.5,15.6,72.2,66.9,5.3,98.61547384,0,98.61547384,-26.41547384
MA8,196,60.4,34.4,57.8,40.8,26,17,9,72.41366411,27.45220632,44.96145779,-18.96145779
MA9,197,52.5,41.8,55.5,43.1,10.7,12.4,-1.7,55.74961503,33.64166414,22.10795088,-11.40795088
MI1,198,36.6,57.9,45.3,53.6,-21.3,-8.3,-13,40.06261953,54.89673052,-14.83411099,-6.465889011
MI2,199,38.2,55.8,43.1,56,-17.6,-12.9,-4.7,32.53224019,62.62613165,-30.09389146,12.49389146
MI3,200,42.2,51.6,45.8,53.1,-9.4,-7.3,-2.1,37.50383363,59.45263096,-21.94879734,12.54879734
MI4,201,34.7,59.5,45.5,53.5,-24.8,-8,-16.8,32.0749578,61.62197428,-29.54701648,4.747016478
MI5,202,49.7,45.5,60.7,38.3,4.2,22.4,-18.2,61.16019556,35.10966485,26.05053071,-21.85053071
MI6,203,42.9,51.3,48.8,50.2,-8.4,-1.4,-7,36.40700102,58.63900083,-22.23199981,13.83199981
MI7,204,38.7,55.7,47.9,51,-17,-3.1,-13.9,40.02604486,55.05291108,-15.02686622,-1.973133776
MI8,205,43.9,50.6,48,51.1,-6.7,-3.1,-3.6,39.18352554,56.03458612,-16.85106058,10.15106058
MI9,206,51.5,43.7,57.2,41.9,7.8,15.3,-7.5,57.91052135,37.39743311,20.51308825,-12.71308825
MI10,207,31.6,63.8,43.7,55.3,-32.2,-11.6,-20.6,32.29251898,63.09170838,-30.7991894,-1.400810598
MI11,208,45.3,49.7,46.9,52.3,-4.4,-5.4,1,40.17544692,52.93237204,-12.75692512,8.35692512
MI12,209,60.8,34.5,66.2,32.8,26.3,33.4,-7.1,64.33819725,29.25166341,35.08653384,-8.786533837
MI13,210,78.8,18.1,85.2,14.3,60.7,70.9,-10.2,77.10369011,15.7259394,61.37775071,-0.6777507108
MI14,211,79.2,18.3,81,18.6,60.9,62.4,-1.5,78.50656325,18.68419868,59.82236457,1.077635429
MN1,212,38.4,53.3,49.6,48.2,-14.9,1.4,-16.3,50.33807019,49.57945915,0.7586110392,-15.65861104
MN2,213,45.3,46.5,49.1,49,-1.2,0.1,-1.3,45.15753791,46.95369136,-1.796153452,0.5961534517
MN3,214,50.8,41.4,49.6,48.8,9.4,0.8,8.6,43.01359209,56.69565704,-13.68206494,23.08206494
MN4,215,61.5,30.6,62.5,35.5,30.9,27,3.9,57.76458755,34.38956198,23.37502557,7.524974428
MN5,216,73.7,18.5,73.5,24,55.2,49.5,5.7,69.07334435,22.28903344,46.78431091,8.415689092
MN6,217,33.2,58.9,41.5,56.5,-25.7,-15,-10.7,34.27132206,65.5793427,-31.30802064,5.608020639
