State-CD,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
NY4, D,0,0.6106,0.1795,0.1377,0.0546,0.0011,0.0127
NY5, D,0,0.1215,0.1892,0.4978,0.1132,0.0059,0.0394
NY6, D,0,0.3855,0.1815,0.0354,0.3725,0.0012,0.0191
NY7, D,0,0.278,0.4312,0.0835,0.1827,0.002,0.0156
NY8, D,0,0.2239,0.1802,0.5255,0.0452,0.0025,0.0173
NY9, D,0,0.297,0.1127,0.5087,0.0577,0.002,0.0177
NY10, D,0,0.6531,0.1216,0.0369,0.1651,0.0009,0.0188
NY11, R,1,0.6422,0.1568,0.0688,0.1141,0.0013,0.0143
NY12, D,0,0.6702,0.1333,0.0462,0.124,0.0011,0.0203
NY13, D,0,0.1223,0.5512,0.2666,0.0392,0.0021,0.0141
NY14, D,0,0.2493,0.4752,0.0945,0.1576,0.0018,0.0148
NY15, D,0,0.0232,0.6528,0.2898,0.0171,0.0024,0.0091
NY16, D,0,0.3932,0.2328,0.3039,0.0454,0.0021,0.0167
NY17, D,0,0.6315,0.1949,0.0969,0.0584,0.0011,0.0143
NY18, D,0,0.7179,0.1482,0.0836,0.0284,0.0019,0.0176
NY19, R,1,0.8633,0.0631,0.0406,0.0135,0.002,0.0157
NY20, D,0,0.7959,0.0525,0.0859,0.0363,0.0019,0.0221
NY21, D,0,0.9159,0.0267,0.0264,0.0077,0.0087,0.0131
NY22, R,1,0.8923,0.0313,0.0357,0.0213,0.0026,0.0158
NY23, R,1,0.8999,0.0317,0.0261,0.0189,0.0056,0.0166
NY24, D,0,0.8371,0.0366,0.0769,0.022,0.0058,0.0203
NY25, D,0,0.7204,0.0744,0.1491,0.0331,0.0021,0.019
NY26, D,0,0.7148,0.0542,0.1765,0.0299,0.005,0.0182
NY27, R,1,0.927,0.0219,0.0228,0.0089,0.0071,0.0112
NC1, D,0,0.3517,0.0799,0.5324,0.0134,0.0073,0.0136
NC2, R,1,0.6675,0.1064,0.1612,0.0304,0.0097,0.022
NC3, R,1,0.7139,0.0636,0.1836,0.012,0.0042,0.0202
NC4, D,0,0.4858,0.1165,0.317,0.0505,0.004,0.0229
NC5, R,1,0.7642,0.0822,0.1223,0.0143,0.0024,0.013
NC6, R,1,0.7597,0.0567,0.1454,0.0188,0.0034,0.0143
NC7, D,0,0.6937,0.0932,0.1725,0.0061,0.0193,0.0135
NC8, R,1,0.6325,0.0836,0.1848,0.0111,0.0722,0.0143
NC9, R,1,0.743,0.0759,0.1218,0.0378,0.0027,0.0161
NC10, R,1,0.7969,0.0563,0.1143,0.0134,0.0028,0.0148
NC11, R,1,0.8766,0.0542,0.0305,0.0102,0.0137,0.0133
NC12, D,0,0.2906,0.1427,0.5005,0.0402,0.0038,0.0191
NC13, R,1,0.7093,0.0796,0.1674,0.0235,0.0029,0.0153
ND1, R,1,0.8891,0.02,0.0115,0.0102,0.0529,0.0154
OH1, R,1,0.7075,0.0259,0.2198,0.0253,0.0015,0.0174
OH2, R,1,0.869,0.0163,0.0827,0.012,0.0021,0.0163
OH3, D,0,0.5556,0.0602,0.3187,0.0298,0.0023,0.0301
OH4, R,1,0.8899,0.0317,0.0504,0.0073,0.0018,0.0175
OH5, R,1,0.906,0.0437,0.0237,0.0119,0.0017,0.0119
OH6, R,1,0.9509,0.0086,0.0215,0.0037,0.0019,0.0126
OH7, R,1,0.9197,0.0179,0.0392,0.0055,0.0019,0.0146
OH8, R,1,0.878,0.0289,0.0568,0.0155,0.0017,0.0173
OH9, D,0,0.7104,0.0939,0.1557,0.0123,0.0024,0.0238
OH10, R,1,0.7614,0.0223,0.1708,0.0194,0.0021,0.0219
OH11, D,0,0.3804,0.0387,0.5362,0.0215,0.0018,0.0195
OH12, R,1,0.8827,0.0186,0.0455,0.0312,0.0017,0.0186
OH13, D,0,0.827,0.026,0.1136,0.0109,0.0018,0.0192
OH14, R,1,0.9063,0.0225,0.0374,0.0191,0.001,0.0127
OH15, R,1,0.9051,0.0183,0.0367,0.02,0.002,0.0165
OH16, R,1,0.9306,0.0184,0.0177,0.0193,0.0012,0.0117
OK1, R,1,0.6706,0.0983,0.0905,0.021,0.0655,0.0527
OK2, R,1,0.6615,0.0429,0.0343,0.0051,0.1818,0.0733
OK3, R,1,0.7659,0.084,0.0357,0.0121,0.0617,0.0382
OK4, R,1,0.7329,0.0725,0.0652,0.0203,0.0583,0.0486
OK5, R,1,0.6018,0.1448,0.137,0.027,0.0443,0.0432
OR1, D,0,0.7409,0.137,0.0141,0.0659,0.0065,0.0304
OR2, R,1,0.8179,0.1235,0.005,0.0093,0.019,0.0223
OR3, D,0,0.7295,0.1073,0.0515,0.0622,0.0076,0.0349
OR4, D,0,0.8602,0.0671,0.0064,0.0202,0.012,0.031
OR5, D,0,0.7744,0.1525,0.0079,0.0244,0.0106,0.0248
PA1, D,0,0.4176,0.1538,0.3422,0.0631,0.0019,0.019
PA2, D,0,0.2858,0.0541,0.5893,0.0465,0.0026,0.0197
PA3, R,1,0.9123,0.0188,0.0453,0.0077,0.0012,0.0137
PA4, R,1,0.829,0.06,0.0734,0.0188,0.0015,0.0157
PA5, R,1,0.9376,0.0155,0.0204,0.0151,0.0012,0.0093
PA6, R,1,0.8589,0.0477,0.0405,0.0375,0.001,0.0131
PA7, R,1,0.8703,0.0281,0.0477,0.04,0.0009,0.0118
PA8, R,1,0.8674,0.0421,0.0333,0.0415,0.0012,0.013
PA9, R,1,0.9364,0.0169,0.0281,0.0051,0.0012,0.0115
PA10, R,1,0.9142,0.0338,0.0308,0.0075,0.0016,0.0111
PA11, R,1,0.8817,0.0453,0.0452,0.0128,0.0011,0.0129
PA12, R,1,0.9309,0.0112,0.0306,0.0146,0.0009,0.011
PA13, D,0,0.6222,0.1023,0.1712,0.0816,0.0016,0.0175
PA14, D,0,0.7157,0.0184,0.2147,0.0249,0.0015,0.0222
PA15, R,1,0.7926,0.1301,0.0368,0.0248,0.0011,0.0131
PA16, R,1,0.747,0.1616,0.0568,0.0175,0.0014,0.0144
PA17, D,0,0.8484,0.0693,0.051,0.0152,0.0013,0.0131
PA18, R,1,0.9366,0.0108,0.0234,0.0164,0.0008,0.0109
RI1, D,0,0.7166,0.1446,0.0641,0.0292,0.0034,0.0275
RI2, D,0,0.8105,0.1037,0.0339,0.0278,0.0042,0.0171
SC1, R,1,0.7012,0.0651,0.1939,0.017,0.0032,0.0171
SC2, R,1,0.6823,0.052,0.2279,0.0161,0.0035,0.0162
SC3, R,1,0.7493,0.042,0.1859,0.0077,0.0021,0.0119
SC4, R,1,0.6993,0.074,0.1885,0.0208,0.002,0.0136
SC5, R,1,0.6611,0.0378,0.272,0.0096,0.0046,0.0135
SC6, D,0,0.3546,0.0458,0.5738,0.009,0.0035,0.0119
SC7, R,1,0.6361,0.04,0.2952,0.0081,0.0063,0.0129
SD1, R,1,0.8469,0.0272,0.0122,0.0093,0.0853,0.0182
#N/A, R,1,0.9249,0.0323,0.0213,0.0063,0.0024,0.0118
#N/A, R,1,0.8731,0.0339,0.0608,0.0135,0.0025,0.0146
#N/A, R,1,0.8321,0.0316,0.1077,0.011,0.0027,0.0138
#N/A, R,1,0.8312,0.0541,0.0798,0.0149,0.003,0.0157
#N/A, D,0,0.6124,0.0899,0.2476,0.0272,0.0024,0.0183
#N/A, R,1,0.9009,0.0361,0.0399,0.0072,0.0028,0.012
#N/A, R,1,0.8244,0.0413,0.0967,0.0144,0.0031,0.0181
#N/A, R,1,0.7499,0.0266,0.1915,0.0166,0.0022,0.0121
#N/A, D,0,0.2594,0.0657,0.643,0.017,0.002,0.0113
TX1, R,1,0.6437,0.1548,0.1758,0.0089,0.0036,0.0119
TX2, R,1,0.5083,0.3081,0.0936,0.0703,0.0024,0.0144
TX3, R,1,0.6244,0.1446,0.0829,0.1204,0.004,0.0214
TX4, R,1,0.7384,0.1218,0.1062,0.0086,0.0076,0.016
TX5, R,1,0.5722,0.2521,0.1391,0.018,0.0042,0.0131
TX6, R,1,0.5433,0.2077,0.1782,0.0467,0.0038,0.0176
TX7, R,1,0.4733,0.3008,0.1114,0.0931,0.0019,0.0164
